 	Area	Circ.	AR	Round	Solidity	Diameter	Volume
1	628.989	0.866	1.027	0.974	0.965	28.299	11866.654
2	602.551	0.838	1.070	0.934	0.957	27.698	11126.397
3	649.326	0.842	1.013	0.987	0.961	28.753	12446.801
4	529.048	0.819	1.143	0.875	0.950	25.954	9153.904
5	649.326	0.858	1.042	0.960	0.965	28.753	12446.801
6	500.576	0.850	1.026	0.974	0.952	25.246	8424.989
7	492.587	0.801	1.142	0.875	0.938	25.044	8224.095
8	625.067	0.837	1.080	0.926	0.959	28.211	11755.835
9	546.480	0.845	1.050	0.952	0.962	26.378	9610.028
10	563.766	0.819	1.098	0.911	0.945	26.792	10069.593
11	541.976	0.808	1.057	0.946	0.947	26.269	9491.488
12	525.271	0.808	1.109	0.902	0.941	25.861	9056.056
13	591.947	0.845	1.016	0.984	0.961	27.453	10833.976
14	583.231	0.848	1.008	0.992	0.953	27.251	10595.581
15	575.532	0.858	1.032	0.969	0.959	27.070	10386.474
16	568.414	0.812	1.206	0.829	0.951	26.902	10194.389
17	535.149	0.867	1.071	0.934	0.959	26.103	9312.706
18	662.980	0.821	1.089	0.918	0.962	29.054	12841.475
19	563.911	0.837	1.019	0.981	0.959	26.795	10073.485
20	589.913	0.807	1.067	0.937	0.950	27.406	10778.192
21	556.503	0.832	1.045	0.957	0.955	26.619	9875.627
22	594.997	0.867	1.087	0.920	0.966	27.524	10917.831
23	572.627	0.818	1.062	0.942	0.951	27.002	10307.928
24	516.265	0.821	1.061	0.943	0.953	25.638	8824.144
25	583.667	0.835	1.032	0.969	0.953	27.261	10607.459
26	481.111	0.861	1.095	0.913	0.966	24.750	7938.381
27	533.696	0.865	1.031	0.970	0.966	26.068	9274.813
28	584.974	0.854	1.055	0.948	0.964	27.291	10643.118
29	528.903	0.850	1.019	0.982	0.960	25.950	9150.134
30	549.966	0.845	1.011	0.989	0.958	26.462	9702.136
31	516.846	0.829	1.076	0.930	0.955	25.653	8839.045
32	655.572	0.813	1.089	0.918	0.947	28.891	12626.833
33	554.905	0.846	1.094	0.914	0.963	26.581	9833.123
34	520.623	0.844	1.073	0.932	0.958	25.746	8936.109
35	567.543	0.883	1.067	0.937	0.965	26.882	10170.951
36	540.669	0.817	1.046	0.956	0.946	26.237	9457.166
37	755.949	0.834	1.038	0.963	0.959	31.024	15635.162
38	522.656	0.861	1.072	0.933	0.974	25.797	8988.520
39	642.789	0.829	1.031	0.970	0.954	28.608	12259.319
40	626.519	0.831	1.033	0.968	0.959	28.244	11796.838
41	531.082	0.825	1.017	0.983	0.945	26.004	9206.737
42	550.111	0.864	1.045	0.957	0.961	26.466	9705.980
43	604.585	0.841	1.054	0.949	0.965	27.745	11182.774
44	459.757	0.857	1.015	0.985	0.961	24.195	7415.783
45	520.768	0.859	1.037	0.965	0.961	25.750	8939.849
