 	Area	Circ.	AR	Round	Solidity	Diameter	Volume
1	511.907	0.809	1.042	0.960	0.952	25.530	8712.651
2	589.477	0.865	1.043	0.958	0.963	27.396	10766.251
3	554.033	0.839	1.136	0.880	0.964	26.560	9809.965
4	512.197	0.838	1.158	0.864	0.956	25.537	8720.069
5	584.974	0.882	1.038	0.963	0.965	27.291	10643.118
6	619.256	0.844	1.055	0.948	0.962	28.080	11592.296
7	515.974	0.861	1.041	0.961	0.963	25.631	8816.696
8	514.376	0.871	1.079	0.927	0.968	25.591	8775.772
9	494.475	0.835	1.022	0.979	0.951	25.092	8271.433
10	567.833	0.834	1.023	0.978	0.957	26.888	10178.762
11	517.863	0.849	1.078	0.928	0.955	25.678	8865.143
12	614.898	0.823	1.040	0.961	0.949	27.981	11470.143
13	591.221	0.873	1.031	0.970	0.967	27.437	10814.042
14	562.604	0.827	1.036	0.966	0.962	26.764	10038.474
15	496.364	0.822	1.066	0.938	0.950	25.139	8318.862
16	543.574	0.812	1.102	0.907	0.950	26.308	9533.494
17	527.160	0.818	1.057	0.946	0.949	25.908	9104.936
18	542.703	0.826	1.031	0.970	0.955	26.287	9510.574
19	628.408	0.851	1.070	0.935	0.962	28.286	11850.215
20	469.490	0.842	1.051	0.951	0.958	24.449	7652.502
21	530.501	0.830	1.037	0.964	0.957	25.990	9191.631
22	558.682	0.822	1.126	0.888	0.950	26.671	9933.685
23	532.534	0.868	1.042	0.960	0.966	26.039	9244.536
24	547.642	0.841	1.076	0.929	0.965	26.406	9640.698
25	550.111	0.861	1.018	0.982	0.969	26.466	9705.980
26	407.753	0.808	1.379	0.725	0.967	22.785	6193.841
27	553.307	0.886	1.136	0.880	0.971	26.542	9790.681
28	555.195	0.848	1.075	0.930	0.964	26.588	9840.847
29	499.124	0.862	1.037	0.964	0.965	25.209	8388.343
30	510.164	0.835	1.057	0.946	0.960	25.486	8668.186
31	558.827	0.874	1.156	0.865	0.961	26.674	9937.559
32	510.745	0.870	1.084	0.923	0.966	25.501	8682.999
33	499.705	0.833	1.049	0.953	0.962	25.224	8402.995
34	487.793	0.833	1.068	0.936	0.956	24.921	8104.337
35	567.978	0.852	1.158	0.864	0.964	26.892	10182.668
36	487.212	0.816	1.025	0.976	0.954	24.907	8089.861
37	613.591	0.824	1.057	0.946	0.948	27.951	11433.582
38	515.393	0.867	1.025	0.976	0.961	25.617	8801.807
39	471.814	0.862	1.019	0.981	0.961	24.510	7709.398
40	585.265	0.842	1.081	0.925	0.962	27.298	10651.048
41	540.814	0.876	1.069	0.936	0.964	26.241	9460.977
42	526.143	0.865	1.030	0.971	0.961	25.883	9078.605
43	513.650	0.819	1.027	0.974	0.952	25.573	8757.191
44	192.038	0.844	1.326	0.754	0.935	15.637	2001.906
45	644.532	0.875	1.024	0.977	0.966	28.647	12309.222
46	574.661	0.859	1.011	0.989	0.962	27.050	10362.890
47	549.240	0.846	1.116	0.896	0.957	26.445	9682.923
48	546.480	0.860	1.077	0.928	0.966	26.378	9610.028
49	547.496	0.877	1.018	0.982	0.967	26.403	9636.862
50	573.063	0.868	1.045	0.957	0.966	27.012	10319.697
51	579.164	0.833	1.042	0.960	0.960	27.155	10484.936
52	726.025	0.815	1.115	0.897	0.958	30.404	14716.035
53	527.305	0.826	1.062	0.942	0.954	25.911	9108.700
54	521.640	0.828	1.063	0.941	0.956	25.772	8962.302
55	504.934	0.800	1.015	0.985	0.941	25.356	8535.247
56	614.172	0.814	1.052	0.951	0.953	27.964	11449.827
57	533.987	0.814	1.098	0.911	0.953	26.075	9282.388
58	719.197	0.814	1.190	0.840	0.963	30.261	14508.945
59	512.924	0.850	1.091	0.916	0.964	25.555	8738.623
60	464.842	0.811	1.129	0.886	0.941	24.328	7539.133
61	445.231	0.841	1.046	0.956	0.962	23.809	7067.115
62	527.595	0.814	1.069	0.935	0.946	25.918	9116.229
63	448.572	0.852	1.049	0.953	0.965	23.899	7146.812
64	506.968	0.885	1.054	0.949	0.966	25.407	8586.864
65	438.404	0.819	1.342	0.745	0.965	23.626	6905.185
66	514.522	0.814	1.066	0.938	0.952	25.595	8779.490
67	451.187	0.834	1.041	0.960	0.943	23.968	7209.392
68	556.648	0.856	1.050	0.952	0.960	26.622	9879.494
69	569.722	0.875	1.075	0.930	0.964	26.933	10229.581
70	610.976	0.825	1.016	0.984	0.963	27.891	11360.576
71	558.391	0.834	1.074	0.931	0.962	26.664	9925.937
72	482.128	0.819	1.060	0.944	0.948	24.776	7963.561
73	514.231	0.876	1.082	0.924	0.967	25.588	8772.055
74	533.551	0.848	1.034	0.967	0.959	26.064	9271.027
75	568.705	0.825	1.056	0.947	0.952	26.909	10202.206
76	537.618	0.863	1.023	0.977	0.963	26.163	9377.241
77	571.029	0.861	1.040	0.962	0.956	26.964	10264.812
78	610.250	0.843	1.028	0.973	0.953	27.875	11340.324
79	567.397	0.833	1.066	0.938	0.951	26.878	10167.046
80	527.595	0.825	1.073	0.932	0.954	25.918	9116.229
81	553.743	0.838	1.090	0.917	0.957	26.553	9802.250
82	464.987	0.805	1.070	0.934	0.928	24.332	7542.667
83	514.957	0.801	1.064	0.940	0.946	25.606	8790.646
84	410.949	0.826	1.173	0.852	0.966	22.874	6266.800
85	549.385	0.881	1.078	0.927	0.970	26.448	9686.764
86	549.821	0.840	1.061	0.943	0.962	26.459	9698.292
87	531.517	0.852	1.047	0.955	0.965	26.014	9218.071
88	530.210	0.810	1.047	0.955	0.951	25.982	9184.082
89	514.522	0.830	1.053	0.950	0.953	25.595	8779.490
90	712.079	0.804	1.252	0.799	0.945	30.111	14294.086
91	530.065	0.810	1.063	0.941	0.948	25.979	9180.308
92	536.021	0.806	1.031	0.970	0.948	26.124	9335.466
93	556.357	0.832	1.045	0.957	0.958	26.615	9871.760
94	551.854	0.829	1.060	0.943	0.956	26.507	9752.150
95	523.092	0.878	1.063	0.941	0.968	25.807	8999.764
96	575.968	0.873	1.032	0.969	0.967	27.080	10398.273
97	508.275	0.825	1.036	0.965	0.949	25.439	8620.101
98	441.164	0.800	1.081	0.925	0.947	23.700	6970.495
99	474.720	0.832	1.111	0.900	0.952	24.585	7780.715
100	553.597	0.831	1.003	0.997	0.952	26.549	9798.393
101	486.776	0.838	1.076	0.930	0.959	24.895	8079.009
102	481.111	0.802	1.268	0.789	0.955	24.750	7938.381
103	495.492	0.830	1.027	0.973	0.959	25.117	8296.961
104	505.951	0.804	1.183	0.846	0.953	25.381	8561.043
105	402.233	0.873	1.094	0.914	0.963	22.630	6068.493
106	566.526	0.819	1.018	0.983	0.957	26.857	10143.629
107	530.936	0.840	1.046	0.956	0.960	26.000	9202.960
108	507.694	0.814	1.074	0.931	0.947	25.425	8605.324
109	532.970	0.801	1.012	0.988	0.944	26.050	9255.886
110	546.915	0.885	1.058	0.945	0.972	26.389	9621.525
111	694.067	0.801	1.163	0.860	0.945	29.727	13755.161
112	485.905	0.813	1.027	0.974	0.954	24.873	8057.320
113	505.661	0.816	1.098	0.911	0.955	25.374	8553.670
114	472.541	0.849	1.051	0.951	0.961	24.529	7727.207
115	524.109	0.862	1.039	0.962	0.960	25.832	9026.019
116	541.395	0.855	1.080	0.926	0.962	26.255	9476.229
117	564.928	0.850	1.165	0.858	0.959	26.820	10100.744
118	575.968	0.863	1.016	0.984	0.959	27.080	10398.273
119	522.221	0.866	1.109	0.902	0.964	25.786	8977.280
120	562.894	0.873	1.032	0.969	0.969	26.771	10046.251
121	510.018	0.819	1.004	0.996	0.959	25.483	8664.484
122	427.364	0.816	1.148	0.871	0.947	23.327	6646.002
123	488.229	0.803	1.042	0.960	0.948	24.933	8115.200
124	562.749	0.806	1.109	0.902	0.943	26.768	10042.362
125	571.174	0.867	1.050	0.953	0.966	26.967	10268.729
126	571.755	0.842	1.082	0.925	0.962	26.981	10284.403
127	300.840	0.807	1.356	0.737	0.935	19.571	3925.243
128	591.656	0.846	1.040	0.962	0.953	27.447	10826.001
129	457.433	0.801	1.123	0.891	0.947	24.133	7359.621
130	849.934	0.859	1.168	0.856	0.968	32.896	18639.815
131	593.399	0.877	1.003	0.997	0.968	27.487	10873.880
132	573.353	0.866	1.020	0.980	0.964	27.019	10327.546
133	615.189	0.848	1.207	0.828	0.957	27.987	11478.273
134	538.635	0.827	1.023	0.977	0.956	26.188	9403.857
135	481.837	0.842	1.112	0.899	0.956	24.769	7956.364
136	93.259	0.805	1.313	0.761	0.947	10.897	677.484
137	515.393	0.823	1.082	0.924	0.948	25.617	8801.807
138	557.665	0.813	1.070	0.935	0.954	26.647	9906.577
139	509.147	0.876	1.060	0.944	0.964	25.461	8642.283
140	576.258	0.807	1.159	0.863	0.941	27.087	10406.142
141	568.269	0.831	1.154	0.867	0.948	26.899	10190.482
142	532.680	0.825	1.034	0.967	0.955	26.043	9248.319
143	604.875	0.851	1.069	0.936	0.966	27.752	11190.836
144	518.444	0.832	1.026	0.975	0.955	25.692	8880.068
145	507.113	0.833	1.021	0.979	0.954	25.410	8590.555
146	523.818	0.867	1.080	0.926	0.966	25.825	9018.515
147	533.551	0.848	1.085	0.922	0.961	26.064	9271.027
148	540.814	0.854	1.066	0.938	0.963	26.241	9460.977
149	541.686	0.854	1.161	0.861	0.962	26.262	9483.858
150	523.237	0.829	1.029	0.972	0.955	25.811	9003.513
151	459.467	0.835	1.063	0.940	0.952	24.187	7408.755
152	643.370	0.876	1.043	0.958	0.971	28.621	12275.946
153	561.587	0.865	1.032	0.969	0.966	26.740	10011.271
154	518.153	0.852	1.077	0.928	0.954	25.685	8872.604
155	517.136	0.864	1.034	0.967	0.963	25.660	8846.499
156	602.261	0.830	1.010	0.990	0.951	27.692	11118.351
157	529.338	0.836	1.046	0.956	0.958	25.961	9161.445
158	510.745	0.884	1.068	0.937	0.969	25.501	8682.999
159	649.326	0.807	1.031	0.970	0.953	28.753	12446.801
160	559.408	0.854	1.022	0.978	0.964	26.688	9953.062
161	585.265	0.854	1.023	0.977	0.964	27.298	10651.048
162	502.465	0.831	1.130	0.885	0.959	25.293	8472.709
163	534.132	0.857	1.058	0.945	0.961	26.078	9286.176
164	555.195	0.814	1.078	0.927	0.953	26.588	9840.847
165	549.385	0.861	1.048	0.954	0.967	26.448	9686.764
166	514.522	0.836	1.120	0.893	0.950	25.595	8779.490
167	547.932	0.824	1.053	0.950	0.953	26.413	9648.370
168	497.526	0.823	1.091	0.917	0.954	25.169	8348.094
169	595.433	0.821	1.192	0.839	0.950	27.534	10929.828
170	516.701	0.872	1.081	0.925	0.963	25.649	8835.319
171	581.778	0.875	1.045	0.957	0.971	27.217	10556.021
172	600.517	0.836	1.035	0.966	0.961	27.651	11070.116
173	503.191	0.866	1.032	0.969	0.963	25.312	8491.087
174	556.938	0.802	1.092	0.916	0.954	26.629	9887.229
175	556.793	0.844	1.084	0.923	0.958	26.626	9883.361
176	559.408	0.839	1.027	0.974	0.959	26.688	9953.062
177	541.105	0.861	1.058	0.945	0.963	26.248	9468.602
178	555.341	0.851	1.073	0.932	0.965	26.591	9844.709
179	536.892	0.861	1.065	0.939	0.962	26.146	9358.245
180	520.623	0.815	1.009	0.991	0.951	25.746	8936.109
181	534.423	0.833	1.103	0.907	0.948	26.085	9293.753
182	530.936	0.814	1.075	0.930	0.945	26.000	9202.960
183	549.530	0.845	1.057	0.946	0.962	26.452	9690.606
184	570.303	0.872	1.106	0.904	0.965	26.947	10245.234
185	591.947	0.867	1.008	0.992	0.965	27.453	10833.976
186	505.080	0.862	1.059	0.944	0.963	25.359	8538.931
187	493.604	0.832	1.209	0.827	0.955	25.069	8249.574
188	464.551	0.851	1.059	0.945	0.958	24.320	7532.066
189	476.172	0.873	1.055	0.948	0.960	24.623	7816.456
190	686.804	0.834	1.012	0.989	0.956	29.571	13539.812
191	506.532	0.821	1.105	0.905	0.953	25.396	8575.795
192	572.191	0.852	1.072	0.933	0.965	26.991	10296.163
193	497.671	0.811	1.078	0.928	0.949	25.172	8351.750
194	534.858	0.818	1.062	0.942	0.953	26.096	9305.123
195	507.113	0.800	1.063	0.941	0.950	25.410	8590.555
196	588.461	0.853	1.022	0.979	0.967	27.372	10738.406
197	545.463	0.884	1.020	0.981	0.965	26.353	9583.218
198	511.035	0.826	1.023	0.978	0.957	25.508	8690.409
199	509.873	0.864	1.059	0.944	0.968	25.479	8660.782
200	521.204	0.868	1.075	0.931	0.967	25.761	8951.073
201	563.475	0.857	1.084	0.923	0.967	26.785	10061.810
202	191.457	0.807	1.657	0.603	0.945	15.613	1992.827
