 	Area	Circ.	AR	Round	Solidity	Diameter	Volume
1	537.764	0.861	1.122	0.891	0.968	26.167	9381.042
2	536.456	0.871	1.049	0.953	0.967	26.135	9346.853
3	494.330	0.833	1.015	0.986	0.955	25.088	8267.789
4	590.494	0.815	1.029	0.972	0.950	27.420	10794.121
5	508.711	0.823	1.031	0.970	0.956	25.450	8631.190
6	532.970	0.851	1.088	0.919	0.961	26.050	9255.886
7	559.989	0.837	1.056	0.947	0.955	26.702	9968.574
8	558.101	0.829	1.051	0.952	0.948	26.657	9918.191
9	653.248	0.831	1.149	0.870	0.961	28.840	12559.744
10	571.319	0.867	1.050	0.953	0.966	26.971	10272.647
11	502.465	0.808	1.026	0.975	0.950	25.293	8472.709
12	535.730	0.827	1.021	0.979	0.957	26.117	9327.877
13	556.212	0.867	1.038	0.963	0.969	26.612	9867.894
14	464.115	0.809	1.177	0.850	0.940	24.309	7521.470
15	524.109	0.860	1.040	0.961	0.967	25.832	9026.019
16	533.842	0.841	1.023	0.977	0.958	26.071	9278.600
17	618.966	0.868	1.016	0.984	0.967	28.073	11584.139
18	482.273	0.842	1.029	0.972	0.958	24.780	7967.161
19	548.513	0.821	1.072	0.933	0.958	26.427	9663.722
20	510.309	0.825	1.051	0.951	0.948	25.490	8671.888
21	79.895	0.844	1.364	0.733	0.936	10.086	537.206
22	548.077	0.815	1.076	0.930	0.960	26.417	9652.208
23	520.332	0.850	1.045	0.957	0.968	25.739	8928.630
24	516.701	0.836	1.037	0.964	0.957	25.649	8835.319
25	565.799	0.831	1.049	0.953	0.955	26.840	10124.128
26	511.616	0.816	1.089	0.919	0.954	25.523	8705.234
27	491.134	0.842	1.032	0.969	0.964	25.007	8187.743
28	491.715	0.882	1.071	0.934	0.964	25.021	8202.277
29	565.945	0.843	1.027	0.974	0.964	26.844	10128.027
30	555.776	0.843	1.018	0.982	0.960	26.601	9856.300
31	538.926	0.839	1.080	0.926	0.960	26.195	9411.467
32	553.597	0.819	1.020	0.980	0.953	26.549	9798.393
33	468.328	0.819	1.116	0.896	0.947	24.419	7624.107
34	634.218	0.855	1.019	0.981	0.955	28.417	12014.952
35	591.802	0.864	1.094	0.914	0.960	27.450	10829.988
36	537.764	0.841	1.060	0.944	0.951	26.167	9381.042
37	546.915	0.813	1.118	0.895	0.965	26.389	9621.525
38	471.960	0.818	1.037	0.964	0.952	24.514	7712.959
39	538.200	0.821	1.019	0.982	0.953	26.177	9392.447
40	587.298	0.818	1.051	0.951	0.954	27.345	10706.612
41	515.974	0.868	1.032	0.969	0.968	25.631	8816.696
42	611.412	0.857	1.020	0.980	0.964	27.901	11372.733
43	583.376	0.876	1.072	0.933	0.967	27.254	10599.540
44	529.193	0.861	1.020	0.980	0.960	25.957	9157.674
45	402.379	0.880	1.047	0.955	0.961	22.635	6071.781
46	515.538	0.824	1.098	0.911	0.955	25.620	8805.529
47	572.482	0.890	1.087	0.920	0.967	26.998	10304.006
48	501.012	0.800	1.050	0.952	0.949	25.257	8435.994
49	580.762	0.877	1.048	0.954	0.970	27.193	10528.358
50	638.286	0.843	1.082	0.924	0.966	28.508	12130.718
51	527.014	0.856	1.080	0.926	0.961	25.904	9101.173
52	519.606	0.806	1.041	0.961	0.955	25.721	8909.942
53	564.056	0.808	1.070	0.935	0.947	26.799	10077.378
54	426.928	0.847	1.157	0.864	0.961	23.315	6635.839
55	579.454	0.844	1.017	0.983	0.959	27.162	10492.827
56	417.050	0.803	1.324	0.755	0.953	23.044	6406.875
57	511.907	0.884	1.052	0.951	0.966	25.530	8712.651
58	620.854	0.861	1.060	0.943	0.967	28.116	11637.193
59	536.456	0.863	1.034	0.967	0.964	26.135	9346.853
60	460.920	0.836	1.091	0.917	0.960	24.225	7443.918
61	547.496	0.866	1.049	0.954	0.964	26.403	9636.862
62	502.901	0.826	1.033	0.968	0.947	25.304	8483.734
63	528.031	0.848	1.047	0.955	0.959	25.929	9127.526
64	582.941	0.860	1.237	0.809	0.967	27.244	10587.665
65	485.905	0.835	1.055	0.948	0.955	24.873	8057.320
66	465.277	0.822	1.119	0.894	0.956	24.339	7549.738
67	666.612	0.831	1.028	0.973	0.968	29.133	12947.131
68	566.235	0.824	1.094	0.914	0.949	26.851	10135.827
69	499.850	0.846	1.062	0.941	0.959	25.228	8406.659
70	523.818	0.847	1.059	0.944	0.956	25.825	9018.515
71	529.629	0.828	1.025	0.976	0.955	25.968	9168.989
72	474.865	0.812	1.083	0.923	0.941	24.589	7784.287
73	510.600	0.867	1.014	0.986	0.966	25.497	8679.295
74	544.882	0.862	1.018	0.982	0.962	26.339	9567.909
75	457.433	0.835	1.084	0.923	0.957	24.133	7359.621
76	547.351	0.842	1.048	0.954	0.960	26.399	9633.027
77	515.974	0.851	1.089	0.919	0.962	25.631	8816.696
78	537.473	0.819	1.075	0.930	0.954	26.160	9373.441
79	615.189	0.844	1.013	0.988	0.961	27.987	11478.273
80	528.176	0.830	1.025	0.975	0.956	25.933	9131.293
81	520.768	0.808	1.016	0.984	0.952	25.750	8939.849
82	663.852	0.831	1.024	0.977	0.954	29.073	12866.806
83	530.355	0.809	1.016	0.985	0.950	25.986	9187.856
84	556.212	0.861	1.109	0.902	0.963	26.612	9867.894
85	599.355	0.813	1.131	0.884	0.956	27.625	11037.997
86	488.084	0.829	1.057	0.946	0.956	24.929	8111.578
87	429.688	0.803	1.051	0.952	0.942	23.390	6700.292
88	469.781	0.815	1.062	0.941	0.952	24.457	7659.607
89	503.046	0.817	1.113	0.899	0.949	25.308	8487.410
90	548.804	0.851	1.125	0.889	0.966	26.434	9671.401
91	505.080	0.829	1.080	0.926	0.954	25.359	8538.931
92	578.002	0.836	1.038	0.963	0.957	27.128	10453.395
93	575.387	0.830	1.062	0.942	0.955	27.067	10382.542
94	533.842	0.863	1.066	0.938	0.960	26.071	9278.600
95	502.755	0.856	1.125	0.889	0.960	25.301	8480.058
96	475.882	0.872	1.066	0.938	0.967	24.615	7809.303
97	529.920	0.875	1.047	0.955	0.960	25.975	9176.534
98	559.263	0.850	1.065	0.939	0.964	26.685	9949.186
99	501.739	0.808	1.063	0.941	0.954	25.275	8454.345
100	468.328	0.823	1.251	0.799	0.951	24.419	7624.107
101	653.538	0.805	1.061	0.942	0.949	28.846	12568.123
102	456.997	0.802	1.253	0.798	0.942	24.122	7349.106
103	670.534	0.858	1.043	0.959	0.965	29.219	13061.563
104	528.322	0.831	1.031	0.970	0.956	25.936	9135.060
105	922.420	0.814	1.075	0.931	0.957	34.270	21074.488
106	639.738	0.821	1.105	0.905	0.948	28.540	12172.153
107	479.659	0.851	1.112	0.900	0.958	24.713	7902.455
108	506.968	0.811	1.065	0.939	0.941	25.407	8586.864
109	508.856	0.817	1.002	0.998	0.952	25.454	8634.887
110	511.035	0.837	1.050	0.953	0.955	25.508	8690.409
111	553.307	0.819	1.078	0.928	0.955	26.542	9790.681
112	515.974	0.871	1.011	0.989	0.962	25.631	8816.696
113	478.061	0.836	1.131	0.884	0.958	24.672	7863.000
114	533.987	0.814	1.135	0.881	0.935	26.075	9282.388
115	568.850	0.855	1.031	0.970	0.962	26.912	10206.115
116	564.202	0.833	1.025	0.976	0.961	26.802	10081.271
117	523.092	0.824	1.074	0.931	0.950	25.807	8999.764
118	583.086	0.846	1.068	0.937	0.964	27.247	10591.623
119	520.913	0.815	1.051	0.952	0.953	25.754	8943.590
120	518.153	0.807	1.074	0.931	0.955	25.685	8872.604
121	475.155	0.816	1.029	0.972	0.951	24.596	7791.432
122	550.256	0.832	1.056	0.947	0.962	26.469	9709.825
123	541.686	0.835	1.022	0.978	0.951	26.262	9483.858
124	521.058	0.827	1.085	0.922	0.955	25.757	8947.331
125	530.210	0.819	1.072	0.933	0.956	25.982	9184.082
126	480.675	0.873	1.075	0.930	0.965	24.739	7927.598
127	548.804	0.888	1.058	0.945	0.973	26.434	9671.401
128	550.837	0.842	1.047	0.955	0.961	26.483	9725.209
129	547.932	0.849	1.117	0.895	0.959	26.413	9648.370
130	539.507	0.856	1.034	0.967	0.961	26.209	9426.692
131	522.802	0.848	1.126	0.888	0.964	25.800	8992.267
132	545.317	0.823	1.035	0.966	0.954	26.350	9579.390
133	582.795	0.890	1.018	0.983	0.970	27.240	10583.708
134	636.397	0.824	1.021	0.979	0.954	28.466	12076.924
135	477.770	0.850	1.094	0.914	0.960	24.664	7855.833
136	633.347	0.856	1.041	0.961	0.967	28.397	11990.193
137	546.625	0.837	1.045	0.957	0.959	26.382	9613.860
138	525.852	0.876	1.072	0.933	0.967	25.875	9071.086
139	607.054	0.831	1.027	0.974	0.952	27.802	11251.360
140	558.682	0.826	1.028	0.972	0.951	26.671	9933.685
141	517.863	0.856	1.052	0.951	0.968	25.678	8865.143
142	532.098	0.814	1.150	0.870	0.944	26.029	9233.191
143	519.606	0.802	1.052	0.950	0.950	25.721	8909.942
144	518.298	0.838	1.149	0.870	0.959	25.689	8876.336
145	500.576	0.806	1.227	0.815	0.945	25.246	8424.989
146	537.618	0.803	1.018	0.982	0.952	26.163	9377.241
147	511.471	0.833	1.032	0.969	0.958	25.519	8701.527
148	545.317	0.879	1.102	0.908	0.968	26.350	9579.390
149	541.395	0.824	1.038	0.964	0.957	26.255	9476.229
150	615.625	0.858	1.045	0.957	0.961	27.997	11490.472
151	498.979	0.803	1.088	0.919	0.956	25.206	8384.681
152	456.126	0.811	1.255	0.797	0.957	24.099	7328.092
153	657.025	0.818	1.143	0.875	0.955	28.923	12668.825
154	527.014	0.837	1.064	0.939	0.953	25.904	9101.173
155	554.324	0.822	1.030	0.971	0.954	26.567	9817.683
156	602.987	0.843	1.072	0.933	0.959	27.708	11138.470
157	564.056	0.868	1.057	0.946	0.963	26.799	10077.378
158	510.164	0.836	1.047	0.955	0.957	25.486	8668.186
159	602.261	0.807	1.093	0.915	0.953	27.692	11118.351
160	624.486	0.807	1.013	0.987	0.951	28.198	11739.446
161	540.088	0.837	1.138	0.879	0.956	26.223	9441.925
162	492.296	0.835	1.024	0.976	0.955	25.036	8216.820
163	523.818	0.841	1.030	0.971	0.953	25.825	9018.515
164	542.703	0.848	1.024	0.977	0.955	26.287	9510.574
165	550.692	0.843	1.099	0.910	0.963	26.479	9721.362
166	524.690	0.814	1.078	0.928	0.953	25.847	9041.033
167	426.202	0.831	1.177	0.850	0.952	23.295	6618.912
168	528.176	0.819	1.026	0.975	0.953	25.933	9131.293
169	576.549	0.839	1.047	0.955	0.949	27.094	10414.012
170	567.397	0.808	1.008	0.992	0.957	26.878	10167.046
171	545.172	0.827	1.047	0.955	0.952	26.346	9575.562
172	609.233	0.856	1.072	0.933	0.962	27.851	11311.992
173	536.166	0.877	1.060	0.943	0.971	26.128	9339.261
174	565.654	0.859	1.068	0.936	0.966	26.837	10120.230
175	549.385	0.809	1.075	0.930	0.956	26.448	9686.764
176	553.016	0.822	1.029	0.972	0.952	26.535	9782.971
177	529.048	0.836	1.057	0.946	0.957	25.954	9153.904
178	500.286	0.832	1.037	0.964	0.951	25.239	8417.656
179	570.738	0.824	1.134	0.882	0.951	26.957	10256.980
180	497.816	0.823	1.147	0.872	0.952	25.176	8355.407
181	565.218	0.815	1.035	0.966	0.951	26.826	10108.537
182	521.058	0.879	1.070	0.934	0.967	25.757	8947.331
183	448.863	0.822	1.050	0.953	0.953	23.906	7153.757
184	570.012	0.827	1.035	0.966	0.963	26.940	10237.406
185	460.484	0.838	1.039	0.963	0.960	24.214	7433.363
186	585.265	0.825	1.071	0.934	0.960	27.298	10651.048
