 	Area	Circ.	AR	Round	Solidity	Diameter	Volume
1	491.861	0.818	1.083	0.923	0.946	25.025	8205.912
2	529.048	0.871	1.009	0.991	0.964	25.954	9153.904
3	555.631	0.834	1.050	0.952	0.960	26.598	9852.436
4	491.425	0.814	1.099	0.910	0.957	25.014	8195.009
5	572.482	0.875	1.077	0.928	0.966	26.998	10304.006
6	532.680	0.820	1.111	0.900	0.953	26.043	9248.319
7	615.044	0.832	1.069	0.935	0.959	27.984	11474.208
8	517.282	0.878	1.100	0.909	0.973	25.664	8850.227
9	556.938	0.864	1.077	0.928	0.965	26.629	9887.229
10	543.574	0.835	1.098	0.911	0.954	26.308	9533.494
11	469.926	0.843	1.044	0.958	0.960	24.461	7663.160
12	524.109	0.813	1.071	0.934	0.940	25.832	9026.019
13	582.359	0.870	1.032	0.969	0.965	27.230	10571.839
14	488.374	0.845	1.096	0.912	0.955	24.936	8118.822
15	529.920	0.807	1.094	0.914	0.942	25.975	9176.534
16	640.029	0.852	1.140	0.877	0.968	28.547	12180.446
17	471.088	0.880	1.025	0.975	0.966	24.491	7691.603
18	613.010	0.811	1.047	0.955	0.955	27.938	11417.345
19	529.920	0.855	1.038	0.963	0.956	25.975	9176.534
20	492.296	0.848	1.099	0.910	0.966	25.036	8216.820
21	501.448	0.812	1.087	0.920	0.943	25.268	8447.003
22	612.865	0.856	1.015	0.985	0.965	27.934	11413.287
23	574.079	0.841	1.022	0.978	0.960	27.036	10347.176
24	902.374	0.833	1.186	0.843	0.965	33.896	20391.239
25	626.810	0.846	1.078	0.928	0.963	28.250	11805.045
26	562.749	0.854	1.036	0.965	0.964	26.768	10042.362
27	577.711	0.816	1.062	0.941	0.954	27.121	10445.514
28	535.149	0.849	1.015	0.985	0.954	26.103	9312.706
29	611.557	0.813	1.045	0.956	0.953	27.904	11376.786
30	538.781	0.844	1.051	0.951	0.961	26.192	9407.662
31	505.225	0.875	1.021	0.979	0.967	25.363	8542.615
32	575.387	0.875	1.032	0.969	0.970	27.067	10382.542
33	500.141	0.813	1.162	0.861	0.955	25.235	8413.990
34	572.627	0.834	1.090	0.917	0.962	27.002	10307.928
35	575.968	0.860	1.068	0.936	0.964	27.080	10398.273
36	565.945	0.882	1.018	0.982	0.971	26.844	10128.027
37	547.206	0.858	1.053	0.949	0.962	26.396	9629.193
38	548.077	0.866	1.044	0.958	0.964	26.417	9652.208
39	613.591	0.878	1.030	0.971	0.968	27.951	11433.582
40	475.155	0.846	1.100	0.909	0.959	24.596	7791.432
41	519.606	0.803	1.074	0.931	0.942	25.721	8909.942
42	547.496	0.869	1.060	0.944	0.963	26.403	9636.862
43	549.675	0.867	1.062	0.941	0.969	26.455	9694.449
44	594.126	0.864	1.034	0.968	0.959	27.504	10893.850
45	573.208	0.853	1.020	0.980	0.968	27.015	10323.621
46	573.789	0.866	1.073	0.932	0.962	27.029	10339.323
47	555.486	0.825	1.039	0.962	0.960	26.594	9848.572
48	537.618	0.831	1.061	0.942	0.959	26.163	9377.241
49	552.000	0.859	1.026	0.975	0.965	26.511	9756.001
50	599.355	0.878	1.056	0.947	0.972	27.625	11037.997
51	563.911	0.823	1.055	0.948	0.953	26.795	10073.485
52	541.395	0.830	1.017	0.983	0.952	26.255	9476.229
53	522.511	0.862	1.106	0.904	0.964	25.793	8984.773
54	566.526	0.859	1.064	0.940	0.965	26.857	10143.629
55	563.185	0.854	1.041	0.961	0.966	26.778	10054.029
56	576.694	0.898	1.064	0.940	0.974	27.097	10417.948
57	604.149	0.860	1.071	0.934	0.960	27.735	11170.686
58	513.069	0.840	1.061	0.942	0.956	25.559	8742.336
59	516.846	0.852	1.017	0.983	0.964	25.653	8839.045
60	633.637	0.846	1.105	0.905	0.960	28.404	11998.444
61	538.490	0.843	1.040	0.961	0.956	26.184	9400.053
62	557.955	0.825	1.131	0.884	0.947	26.654	9914.319
63	549.821	0.843	1.036	0.966	0.956	26.459	9698.292
64	560.280	0.864	1.040	0.961	0.961	26.709	9976.332
65	516.265	0.866	1.025	0.976	0.963	25.638	8824.144
66	627.100	0.874	1.033	0.968	0.972	28.257	11813.253
67	574.225	0.850	1.049	0.954	0.958	27.039	10351.104
68	550.402	0.849	1.023	0.978	0.961	26.472	9713.670
69	571.610	0.864	1.015	0.985	0.967	26.978	10280.484
70	535.440	0.840	1.062	0.942	0.959	26.110	9320.290
71	599.065	0.833	1.013	0.987	0.955	27.618	11029.973
72	582.069	0.872	1.045	0.957	0.969	27.223	10563.929
73	541.105	0.863	1.054	0.948	0.966	26.248	9468.602
74	517.427	0.824	1.156	0.865	0.955	25.667	8853.955
75	550.692	0.809	1.058	0.945	0.953	26.479	9721.362
76	572.336	0.852	1.019	0.981	0.963	26.995	10300.084
77	520.623	0.885	1.022	0.979	0.964	25.746	8936.109
78	616.061	0.867	1.054	0.949	0.968	28.007	11502.675
79	491.570	0.872	1.043	0.959	0.963	25.018	8198.643
80	552.000	0.871	1.050	0.953	0.967	26.511	9756.001
81	530.355	0.840	1.045	0.957	0.959	25.986	9187.856
82	551.564	0.823	1.040	0.962	0.952	26.500	9744.450
83	464.551	0.844	1.114	0.897	0.962	24.320	7532.066
84	521.204	0.837	1.041	0.960	0.956	25.761	8951.073
85	573.208	0.842	1.053	0.950	0.958	27.015	10323.621
86	635.526	0.859	1.031	0.970	0.968	28.446	12052.122
