 	Area	Circ.	AR	Round	Solidity	Diameter	Volume
1	471.088	0.880	1.085	0.922	0.965	24.491	7691.603
2	669.082	0.830	1.057	0.946	0.961	29.187	13019.141
3	489.391	0.852	1.011	0.989	0.959	24.962	8144.191
4	591.221	0.858	1.106	0.904	0.965	27.437	10814.042
5	640.900	0.831	1.070	0.935	0.954	28.566	12205.335
6	655.427	0.822	1.062	0.942	0.958	28.888	12622.637
7	536.311	0.859	1.029	0.972	0.961	26.131	9343.057
8	559.989	0.822	1.162	0.861	0.956	26.702	9968.574
9	523.673	0.811	1.088	0.919	0.953	25.822	9014.764
10	581.197	0.816	1.031	0.970	0.954	27.203	10540.210
11	598.338	0.832	1.035	0.966	0.963	27.601	11009.919
12	568.269	0.844	1.003	0.997	0.962	26.899	10190.482
13	499.269	0.829	1.045	0.957	0.953	25.213	8392.005
14	588.025	0.860	1.007	0.993	0.960	27.362	10726.479
15	533.406	0.881	1.003	0.997	0.964	26.061	9267.241
16	611.412	0.842	1.032	0.969	0.957	27.901	11372.733
17	607.635	0.833	1.031	0.970	0.961	27.815	11267.518
18	535.440	0.872	1.007	0.993	0.964	26.110	9320.290
19	573.208	0.812	1.018	0.982	0.944	27.015	10323.621
20	525.562	0.828	1.096	0.912	0.954	25.868	9063.570
21	479.223	0.806	1.088	0.920	0.946	24.702	7891.688
22	541.831	0.831	1.060	0.944	0.955	26.266	9487.673
23	564.928	0.871	1.043	0.959	0.965	26.820	10100.744
24	510.164	0.841	1.146	0.873	0.962	25.486	8668.186
25	530.355	0.813	1.076	0.930	0.948	25.986	9187.856
26	583.667	0.817	1.040	0.962	0.954	27.261	10607.459
27	614.463	0.843	1.024	0.977	0.959	27.971	11457.952
28	579.890	0.842	1.031	0.970	0.951	27.172	10504.666
29	534.423	0.835	1.045	0.957	0.957	26.085	9293.753
30	548.513	0.859	1.058	0.945	0.956	26.427	9663.722
31	574.225	0.839	1.134	0.882	0.958	27.039	10351.104
32	534.132	0.812	1.006	0.994	0.948	26.078	9286.176
33	512.343	0.831	1.071	0.933	0.955	25.541	8723.779
34	541.686	0.861	1.028	0.972	0.960	26.262	9483.858
35	546.770	0.867	1.013	0.987	0.967	26.385	9617.692
36	479.077	0.838	1.036	0.965	0.957	24.698	7888.100
37	506.532	0.815	1.017	0.983	0.941	25.396	8575.795
38	564.056	0.874	1.034	0.967	0.967	26.799	10077.378
39	535.730	0.847	1.065	0.939	0.956	26.117	9327.877
40	545.753	0.843	1.091	0.916	0.955	26.360	9590.875
41	489.682	0.816	1.044	0.957	0.960	24.970	8151.444
42	499.124	0.859	1.028	0.973	0.962	25.209	8388.343
43	498.543	0.837	1.068	0.936	0.958	25.195	8373.699
44	580.471	0.821	1.063	0.941	0.951	27.186	10520.458
45	485.179	0.857	1.036	0.965	0.955	24.855	8039.261
46	559.989	0.853	1.040	0.962	0.964	26.702	9968.574
47	455.690	0.873	1.025	0.976	0.964	24.087	7317.593
48	481.111	0.833	1.104	0.906	0.959	24.750	7938.381
49	562.604	0.810	1.039	0.963	0.955	26.764	10038.474
50	570.448	0.813	1.036	0.965	0.952	26.950	10249.149
51	563.040	0.856	1.036	0.965	0.959	26.775	10050.140
52	583.812	0.818	1.046	0.956	0.956	27.264	10611.419
53	561.442	0.844	1.074	0.931	0.964	26.737	10007.387
54	589.768	0.816	1.020	0.980	0.951	27.403	10774.211
55	528.322	0.828	1.017	0.983	0.959	25.936	9135.060
56	600.082	0.838	1.065	0.939	0.961	27.641	11058.068
57	611.848	0.801	1.047	0.955	0.945	27.911	11384.894
58	588.606	0.841	1.045	0.957	0.962	27.376	10742.382
59	502.901	0.817	1.065	0.939	0.953	25.304	8483.734
60	524.690	0.811	1.077	0.928	0.954	25.847	9041.033
61	535.585	0.847	1.063	0.941	0.957	26.114	9324.083
62	591.511	0.874	1.063	0.941	0.969	27.443	10822.014
63	574.951	0.823	1.046	0.956	0.958	27.056	10370.749
64	549.530	0.878	1.005	0.995	0.964	26.452	9690.606
65	525.707	0.845	1.039	0.962	0.963	25.872	9067.328
66	557.229	0.855	1.097	0.911	0.966	26.636	9894.967
67	620.128	0.835	1.029	0.972	0.955	28.099	11616.778
68	607.926	0.853	1.039	0.962	0.964	27.821	11275.599
69	649.616	0.801	1.053	0.950	0.948	28.760	12455.155
70	594.416	0.815	1.038	0.964	0.951	27.511	10901.842
71	633.492	0.840	1.097	0.911	0.969	28.400	11994.318
72	551.273	0.883	1.029	0.971	0.963	26.493	9736.752
73	494.766	0.824	1.103	0.907	0.952	25.099	8278.724
74	586.863	0.831	1.015	0.985	0.957	27.335	10694.697
75	540.378	0.842	1.108	0.903	0.959	26.230	9449.544
76	538.490	0.810	1.062	0.941	0.953	26.184	9400.053
77	531.082	0.803	1.089	0.918	0.950	26.004	9206.737
78	574.079	0.857	1.040	0.961	0.964	27.036	10347.176
79	547.496	0.841	1.094	0.914	0.959	26.403	9636.862
80	575.387	0.863	1.036	0.965	0.958	27.067	10382.542
81	565.218	0.828	1.026	0.975	0.952	26.826	10108.537
82	509.147	0.813	1.015	0.985	0.959	25.461	8642.283
83	579.164	0.879	1.043	0.959	0.965	27.155	10484.936
84	575.387	0.831	1.017	0.983	0.957	27.067	10382.542
85	546.915	0.800	1.009	0.991	0.953	26.389	9621.525
86	527.305	0.861	1.018	0.982	0.961	25.911	9108.700
87	529.338	0.805	1.110	0.901	0.946	25.961	9161.445
88	546.044	0.858	1.066	0.938	0.963	26.367	9598.535
89	531.808	0.807	1.024	0.976	0.950	26.022	9225.630
90	579.890	0.848	1.076	0.930	0.958	27.172	10504.666
91	489.246	0.852	1.032	0.969	0.958	24.959	8140.565
92	633.347	0.818	1.108	0.903	0.955	28.397	11990.193
93	587.153	0.832	1.069	0.936	0.953	27.342	10702.640
94	562.604	0.835	1.056	0.947	0.961	26.764	10038.474
95	609.959	0.844	1.035	0.966	0.965	27.868	11332.227
96	591.947	0.833	1.120	0.893	0.955	27.453	10833.976
97	510.018	0.854	1.036	0.965	0.961	25.483	8664.484
98	555.631	0.818	1.016	0.984	0.947	26.598	9852.436
99	516.120	0.815	1.053	0.950	0.949	25.635	8820.420
100	634.945	0.858	1.066	0.938	0.963	28.433	12035.597
101	554.033	0.805	1.066	0.938	0.957	26.560	9809.965
102	523.964	0.840	1.045	0.957	0.957	25.829	9022.267
103	587.008	0.806	1.025	0.976	0.952	27.339	10698.668
104	544.591	0.804	1.044	0.958	0.944	26.332	9560.258
105	531.082	0.838	1.025	0.976	0.956	26.004	9206.737
106	520.042	0.833	1.048	0.954	0.948	25.732	8921.153
107	436.370	0.834	1.032	0.969	0.953	23.571	6857.192
108	539.943	0.817	1.032	0.969	0.953	26.220	9438.115
109	528.467	0.835	1.110	0.901	0.959	25.940	9138.828
110	610.395	0.810	1.024	0.977	0.952	27.878	11344.374
111	505.951	0.807	1.052	0.951	0.952	25.381	8561.043
112	551.709	0.860	1.047	0.955	0.962	26.504	9748.300
113	546.334	0.845	1.068	0.936	0.959	26.375	9606.196
114	634.654	0.821	1.081	0.925	0.961	28.427	12027.338
115	550.692	0.874	1.037	0.965	0.965	26.479	9721.362
116	520.477	0.825	1.038	0.963	0.955	25.743	8932.369
117	573.498	0.825	1.052	0.951	0.950	27.022	10331.471
118	619.256	0.809	1.080	0.926	0.950	28.080	11592.296
119	538.490	0.818	1.033	0.968	0.946	26.184	9400.053
120	576.258	0.884	1.003	0.997	0.971	27.087	10406.142
121	567.688	0.864	1.043	0.959	0.961	26.885	10174.856
122	547.642	0.840	1.039	0.962	0.953	26.406	9640.698
123	615.044	0.857	1.066	0.938	0.962	27.984	11474.208
124	637.124	0.878	1.081	0.925	0.971	28.482	12097.605
125	588.606	0.876	1.083	0.923	0.965	27.376	10742.382
