 	Area	Circ.	AR	Round	Solidity	Diameter	Volume
1	556.212	0.820	1.046	0.956	0.951	26.612	9867.894
2	594.271	0.815	1.070	0.934	0.951	27.507	10897.846
3	593.690	0.846	1.057	0.946	0.959	27.494	10881.867
4	571.755	0.814	1.052	0.950	0.950	26.981	10284.403
5	574.515	0.808	1.038	0.963	0.946	27.046	10358.961
6	636.978	0.827	1.115	0.897	0.958	28.479	12093.468
7	496.073	0.837	1.068	0.936	0.951	25.132	8311.559
8	508.856	0.836	1.040	0.962	0.952	25.454	8634.887
9	536.747	0.809	1.052	0.950	0.945	26.142	9354.447
10	567.397	0.820	1.174	0.852	0.951	26.878	10167.046
11	512.488	0.809	1.089	0.919	0.957	25.544	8727.489
12	581.197	0.804	1.054	0.949	0.946	27.203	10540.210
13	588.606	0.816	1.014	0.986	0.952	27.376	10742.382
14	521.204	0.807	1.019	0.981	0.950	25.761	8951.073
15	522.947	0.848	1.199	0.834	0.964	25.804	8996.016
16	535.730	0.813	1.172	0.853	0.951	26.117	9327.877
17	533.987	0.826	1.033	0.968	0.955	26.075	9282.388
18	586.427	0.806	1.022	0.978	0.948	27.325	10682.787
19	554.324	0.814	1.028	0.973	0.952	26.567	9817.683
20	566.962	0.822	1.057	0.946	0.958	26.868	10155.335
21	559.408	0.842	1.059	0.944	0.951	26.688	9953.062
22	585.991	0.861	1.023	0.977	0.959	27.315	10670.881
23	619.547	0.802	1.041	0.961	0.943	28.086	11600.454
24	520.332	0.815	1.035	0.966	0.950	25.739	8928.630
25	492.006	0.833	1.107	0.903	0.950	25.029	8209.548
26	532.534	0.809	1.041	0.961	0.944	26.039	9244.536
27	592.383	0.821	1.033	0.968	0.951	27.464	10845.942
28	559.117	0.820	1.042	0.960	0.953	26.681	9945.310
29	556.938	0.803	1.024	0.976	0.956	26.629	9887.229
30	457.143	0.838	1.034	0.967	0.955	24.126	7352.610
31	544.446	0.821	1.059	0.944	0.950	26.329	9556.433
32	534.423	0.804	1.033	0.968	0.951	26.085	9293.753
33	421.118	0.805	1.050	0.952	0.947	23.156	6500.829
34	541.686	0.825	1.036	0.965	0.944	26.262	9483.858
35	542.267	0.801	1.018	0.982	0.946	26.276	9499.121
36	498.543	0.803	1.096	0.912	0.950	25.195	8373.699
37	608.071	0.818	1.062	0.942	0.950	27.825	11279.641
38	494.475	0.840	1.061	0.943	0.954	25.092	8271.433
39	608.797	0.819	1.135	0.881	0.957	27.841	11299.857
40	530.791	0.818	1.026	0.975	0.946	25.997	9199.183
41	601.098	0.829	1.040	0.962	0.955	27.665	11086.186
42	577.566	0.816	1.052	0.950	0.956	27.118	10441.575
43	625.938	0.843	1.015	0.985	0.959	28.231	11780.431
44	610.976	0.818	1.064	0.940	0.953	27.891	11360.576
45	573.208	0.801	1.032	0.969	0.948	27.015	10323.621
46	636.543	0.804	1.073	0.932	0.951	28.469	12081.059
47	593.109	0.854	1.037	0.964	0.957	27.480	10865.895
48	575.968	0.801	1.065	0.939	0.951	27.080	10398.273
49	770.185	0.828	1.049	0.954	0.959	31.315	16078.889
50	606.764	0.805	1.059	0.945	0.948	27.795	11243.283
51	493.168	0.818	1.031	0.970	0.950	25.058	8238.651
52	563.185	0.815	1.027	0.974	0.941	26.778	10054.029
53	538.926	0.840	1.108	0.903	0.960	26.195	9411.467
54	505.515	0.800	1.089	0.918	0.944	25.370	8549.984
55	599.355	0.842	1.026	0.975	0.959	27.625	11037.997
56	586.572	0.840	1.026	0.975	0.955	27.328	10686.757
57	580.616	0.838	1.017	0.983	0.959	27.189	10524.408
58	620.564	0.804	1.007	0.993	0.948	28.109	11629.025
59	585.119	0.808	1.046	0.956	0.943	27.295	10647.083
60	555.341	0.808	1.068	0.936	0.945	26.591	9844.709
61	546.044	0.814	1.061	0.942	0.952	26.367	9598.535
62	564.928	0.820	1.053	0.949	0.947	26.820	10100.744
63	540.960	0.808	1.047	0.955	0.950	26.244	9464.789
64	583.231	0.814	1.111	0.900	0.950	27.251	10595.581
