 	Area	Circ.	AR	Round	Solidity	Diameter	Volume
1	495.492	0.806	1.027	0.974	0.956	25.117	8296.961
2	534.713	0.820	1.040	0.962	0.960	26.092	9301.333
3	532.970	0.816	1.030	0.970	0.955	26.050	9255.886
4	543.720	0.856	1.035	0.967	0.964	26.311	9537.316
5	520.768	0.827	1.105	0.905	0.960	25.750	8939.849
6	595.724	0.853	1.050	0.952	0.963	27.541	10937.828
7	508.275	0.846	1.120	0.893	0.961	25.439	8620.101
8	554.033	0.815	1.166	0.858	0.950	26.560	9809.965
9	612.865	0.852	1.018	0.982	0.961	27.934	11413.287
10	510.600	0.860	1.118	0.895	0.966	25.497	8679.295
11	532.825	0.884	1.054	0.949	0.969	26.046	9252.103
12	543.720	0.818	1.137	0.880	0.954	26.311	9537.316
13	387.852	0.802	1.229	0.813	0.942	22.222	5745.970
14	558.391	0.820	1.079	0.927	0.951	26.664	9925.937
15	517.863	0.826	1.067	0.937	0.952	25.678	8865.143
16	505.370	0.869	1.058	0.946	0.963	25.366	8546.299
17	578.292	0.810	1.082	0.924	0.951	27.135	10461.277
18	494.040	0.837	1.241	0.806	0.962	25.080	8260.501
19	559.844	0.854	1.113	0.899	0.957	26.699	9964.695
20	609.378	0.847	1.076	0.929	0.962	27.855	11316.038
21	610.395	0.808	1.040	0.961	0.957	27.878	11344.374
22	559.989	0.822	1.069	0.936	0.956	26.702	9968.574
23	517.572	0.839	1.054	0.949	0.961	25.671	8857.684
24	554.178	0.851	1.026	0.974	0.957	26.563	9813.824
25	532.534	0.829	1.054	0.949	0.955	26.039	9244.536
26	546.915	0.877	1.037	0.964	0.962	26.389	9621.525
27	578.147	0.862	1.042	0.959	0.964	27.132	10457.336
28	477.189	0.865	1.067	0.937	0.963	24.649	7841.506
29	501.593	0.859	1.027	0.974	0.959	25.271	8450.673
30	520.187	0.842	1.016	0.984	0.963	25.736	8924.891
31	467.166	0.845	1.050	0.953	0.955	24.389	7595.747
32	509.728	0.804	1.116	0.896	0.941	25.476	8657.081
33	530.355	0.848	1.131	0.884	0.959	25.986	9187.856
34	554.760	0.828	1.004	0.996	0.957	26.577	9829.262
35	546.915	0.865	1.061	0.943	0.964	26.389	9621.525
36	445.958	0.807	1.153	0.868	0.949	23.829	7084.415
37	551.564	0.859	1.028	0.973	0.957	26.500	9744.450
38	445.086	0.824	1.043	0.959	0.948	23.805	7063.657
39	537.328	0.864	1.041	0.961	0.963	26.156	9369.641
40	538.926	0.847	1.037	0.965	0.956	26.195	9411.467
41	505.080	0.846	1.088	0.919	0.960	25.359	8538.931
42	522.947	0.822	1.038	0.964	0.945	25.804	8996.016
43	528.903	0.850	1.049	0.953	0.957	25.950	9150.134
44	569.867	0.841	1.021	0.980	0.961	26.937	10233.493
45	591.366	0.823	1.044	0.958	0.955	27.440	10818.028
46	460.920	0.815	1.045	0.957	0.950	24.225	7443.918
47	600.953	0.810	1.064	0.940	0.956	27.661	11082.168
48	429.979	0.804	1.093	0.915	0.949	23.398	6707.088
49	516.991	0.844	1.048	0.954	0.957	25.656	8842.772
50	570.303	0.889	1.040	0.962	0.965	26.947	10245.234
51	574.806	0.825	1.019	0.981	0.955	27.053	10366.819
52	589.768	0.860	1.085	0.921	0.966	27.403	10774.211
53	536.311	0.819	1.094	0.914	0.958	26.131	9343.057
54	611.557	0.820	1.091	0.917	0.965	27.904	11376.786
55	548.368	0.843	1.010	0.990	0.960	26.424	9659.883
56	535.004	0.869	1.020	0.980	0.970	26.100	9308.914
57	487.503	0.816	1.045	0.957	0.953	24.914	8097.098
58	510.018	0.855	1.128	0.886	0.965	25.483	8664.484
59	514.086	0.800	1.055	0.948	0.944	25.584	8768.338
60	525.416	0.820	1.062	0.941	0.945	25.865	9059.812
61	559.408	0.812	1.038	0.963	0.950	26.688	9953.062
62	484.307	0.815	1.043	0.959	0.949	24.832	8017.608
63	527.741	0.825	1.091	0.917	0.950	25.922	9119.994
64	531.227	0.864	1.085	0.922	0.961	26.007	9210.514
65	582.214	0.830	1.081	0.925	0.958	27.227	10567.883
66	566.962	0.822	1.170	0.855	0.944	26.868	10155.335
67	547.351	0.857	1.033	0.968	0.965	26.399	9633.027
68	418.067	0.818	1.024	0.977	0.949	23.072	6430.321
69	561.296	0.832	1.009	0.991	0.957	26.733	10003.503
70	114.177	0.804	1.173	0.852	0.930	12.057	917.762
71	569.286	0.827	1.037	0.964	0.956	26.923	10217.846
72	568.124	0.843	1.016	0.984	0.962	26.895	10186.575
73	490.699	0.864	1.032	0.969	0.961	24.996	8176.848
74	615.334	0.808	1.031	0.970	0.956	27.990	11482.339
75	670.098	0.862	1.019	0.982	0.969	29.210	13048.832
76	528.757	0.850	1.072	0.933	0.957	25.947	9146.365
77	577.421	0.805	1.003	0.997	0.948	27.114	10437.636
78	548.077	0.851	1.018	0.983	0.957	26.417	9652.208
79	498.107	0.842	1.015	0.986	0.956	25.184	8362.722
80	550.837	0.864	1.066	0.938	0.963	26.483	9725.209
81	542.993	0.852	1.150	0.869	0.960	26.294	9518.212
82	524.545	0.857	1.032	0.969	0.959	25.843	9037.279
