 	Area	Circ.	AR	Round	Solidity	Diameter	Volume
1	452.785	0.838	1.087	0.920	0.962	24.010	7247.724
2	503.627	0.860	1.060	0.944	0.954	25.323	8502.120
3	449.589	0.804	1.204	0.830	0.944	23.926	7171.127
4	485.179	0.898	1.054	0.949	0.972	24.855	8039.261
5	534.713	0.875	1.024	0.977	0.965	26.092	9301.333
6	555.341	0.876	1.062	0.941	0.973	26.591	9844.709
7	517.863	0.844	1.033	0.968	0.951	25.678	8865.143
8	551.128	0.860	1.026	0.975	0.963	26.490	9732.904
9	575.096	0.835	1.036	0.965	0.957	27.060	10374.680
10	485.179	0.846	1.096	0.913	0.957	24.855	8039.261
11	579.599	0.849	1.063	0.940	0.966	27.166	10496.773
12	572.627	0.840	1.051	0.952	0.958	27.002	10307.928
13	501.884	0.823	1.016	0.984	0.945	25.279	8458.016
14	578.437	0.868	1.070	0.935	0.963	27.138	10465.219
15	499.995	0.862	1.071	0.934	0.961	25.231	8410.324
16	522.221	0.859	1.047	0.955	0.968	25.786	8977.280
17	966.725	0.835	1.008	0.992	0.958	35.084	22610.936
18	567.543	0.852	1.038	0.964	0.960	26.882	10170.951
19	535.294	0.817	1.020	0.981	0.952	26.107	9316.498
20	573.063	0.846	1.033	0.968	0.959	27.012	10319.697
21	487.503	0.805	1.032	0.969	0.949	24.914	8097.098
22	537.183	0.851	1.027	0.974	0.960	26.153	9365.842
23	510.454	0.854	1.051	0.952	0.961	25.494	8675.591
24	508.421	0.865	1.045	0.957	0.960	25.443	8623.797
25	555.776	0.807	1.137	0.879	0.946	26.601	9856.300
26	546.334	0.848	1.047	0.955	0.958	26.375	9606.196
27	511.907	0.854	1.075	0.930	0.957	25.530	8712.651
28	452.930	0.837	1.176	0.851	0.959	24.014	7251.212
29	491.861	0.833	1.084	0.923	0.942	25.025	8205.912
30	628.989	0.805	1.045	0.957	0.958	28.299	11866.654
31	503.772	0.839	1.030	0.971	0.957	25.326	8505.798
32	520.913	0.807	1.084	0.922	0.951	25.754	8943.590
33	562.023	0.850	1.084	0.923	0.956	26.751	10022.926
34	587.879	0.855	1.025	0.975	0.965	27.359	10722.505
35	488.084	0.826	1.026	0.975	0.950	24.929	8111.578
36	631.458	0.834	1.064	0.940	0.959	28.355	11936.607
37	579.164	0.843	1.058	0.945	0.966	27.155	10484.936
38	545.463	0.842	1.090	0.917	0.957	26.353	9583.218
39	545.898	0.873	1.030	0.971	0.967	26.364	9594.705
40	584.103	0.856	1.075	0.930	0.961	27.271	10619.341
41	586.863	0.855	1.036	0.965	0.970	27.335	10694.697
42	622.307	0.813	1.149	0.870	0.958	28.149	11678.058
43	494.185	0.828	1.055	0.948	0.957	25.084	8264.145
44	542.848	0.841	1.088	0.919	0.960	26.290	9514.393
45	561.006	0.856	1.049	0.953	0.962	26.726	9995.738
46	497.090	0.845	1.062	0.942	0.959	25.158	8337.128
47	526.724	0.817	1.014	0.986	0.950	25.897	9093.648
48	512.197	0.867	1.038	0.963	0.966	25.537	8720.069
49	494.330	0.832	1.083	0.923	0.957	25.088	8267.789
50	524.981	0.827	1.067	0.937	0.956	25.854	9048.543
51	534.568	0.842	1.042	0.959	0.955	26.089	9297.543
52	569.141	0.866	1.093	0.915	0.966	26.919	10213.935
53	454.528	0.863	1.144	0.875	0.965	24.057	7289.618
54	563.621	0.808	1.031	0.969	0.963	26.789	10065.701
55	531.082	0.864	1.044	0.958	0.964	26.004	9206.737
56	494.911	0.878	1.041	0.961	0.972	25.103	8282.370
57	530.936	0.867	1.045	0.957	0.967	26.000	9202.960
58	519.751	0.886	1.015	0.985	0.967	25.725	8913.678
59	534.423	0.843	1.128	0.887	0.960	26.085	9293.753
60	491.861	0.879	1.033	0.968	0.966	25.025	8205.912
61	531.953	0.858	1.013	0.987	0.963	26.025	9229.410
62	548.949	0.866	1.025	0.975	0.962	26.438	9675.241
63	538.926	0.815	1.083	0.923	0.952	26.195	9411.467
64	551.854	0.824	1.041	0.960	0.953	26.507	9752.150
65	507.840	0.874	1.020	0.981	0.963	25.428	8609.017
66	516.991	0.836	1.113	0.899	0.953	25.656	8842.772
67	589.623	0.861	1.058	0.946	0.967	27.399	10770.231
68	489.972	0.837	1.098	0.911	0.953	24.977	8158.700
69	615.189	0.843	1.105	0.905	0.966	27.987	11478.273
70	552.435	0.851	1.027	0.974	0.957	26.521	9767.557
71	763.212	0.808	1.136	0.880	0.961	31.173	15861.036
72	608.652	0.844	1.089	0.918	0.954	27.838	11295.813
73	562.749	0.831	1.193	0.838	0.955	26.768	10042.362
74	585.410	0.834	1.013	0.987	0.955	27.301	10655.014
75	555.631	0.838	1.075	0.930	0.953	26.598	9852.436
76	529.193	0.871	1.012	0.988	0.966	25.957	9157.674
77	565.073	0.808	1.022	0.978	0.956	26.823	10104.640
78	564.928	0.858	1.013	0.987	0.961	26.820	10100.744
79	501.593	0.832	1.085	0.921	0.952	25.271	8450.673
80	524.400	0.863	1.037	0.964	0.965	25.840	9033.525
81	607.199	0.847	1.038	0.963	0.965	27.805	11255.398
82	568.705	0.860	1.124	0.890	0.960	26.909	10202.206
83	579.164	0.813	1.054	0.949	0.954	27.155	10484.936
84	546.480	0.870	1.047	0.955	0.964	26.378	9610.028
85	479.077	0.889	1.008	0.992	0.967	24.698	7888.100
86	582.650	0.883	1.045	0.957	0.968	27.237	10579.751
87	523.964	0.811	1.044	0.958	0.950	25.829	9022.267
88	956.267	0.849	1.056	0.947	0.962	34.894	22244.991
89	510.890	0.814	1.106	0.904	0.953	25.505	8686.703
90	555.922	0.848	1.025	0.975	0.961	26.605	9860.164
91	1011.902	0.815	1.186	0.843	0.966	35.894	24214.285
92	628.117	0.828	1.031	0.970	0.963	28.280	11841.998
93	548.368	0.865	1.047	0.955	0.969	26.424	9659.883
94	600.953	0.863	1.064	0.940	0.966	27.661	11082.168
95	518.008	0.826	1.009	0.991	0.962	25.682	8868.873
96	520.623	0.832	1.057	0.946	0.953	25.746	8936.109
97	511.762	0.859	1.031	0.970	0.964	25.526	8708.942
98	542.848	0.825	1.109	0.901	0.965	26.290	9514.393
99	536.311	0.883	1.036	0.965	0.967	26.131	9343.057
100	566.816	0.832	1.086	0.921	0.953	26.864	10151.433
101	499.995	0.860	1.061	0.942	0.961	25.231	8410.324
102	584.538	0.822	1.015	0.985	0.960	27.281	10631.227
103	581.924	0.884	1.112	0.899	0.972	27.220	10559.974
104	539.507	0.874	1.010	0.990	0.962	26.209	9426.692
105	518.589	0.875	1.022	0.979	0.969	25.696	8883.800
106	633.783	0.857	1.040	0.962	0.965	28.407	12002.570
107	522.947	0.879	1.095	0.913	0.965	25.804	8996.016
108	525.271	0.842	1.019	0.981	0.958	25.861	9056.056
109	540.233	0.860	1.052	0.951	0.966	26.227	9445.734
110	663.852	0.867	1.135	0.881	0.968	29.073	12866.806
111	592.964	0.868	1.004	0.996	0.967	27.477	10861.904
112	512.343	0.855	1.033	0.968	0.962	25.541	8723.779
113	566.671	0.813	1.019	0.981	0.946	26.861	10147.531
114	542.703	0.848	1.049	0.953	0.962	26.287	9510.574
115	553.452	0.846	1.079	0.927	0.963	26.546	9794.537
116	533.115	0.864	1.016	0.984	0.965	26.053	9259.671
117	540.524	0.849	1.015	0.985	0.963	26.234	9453.355
118	583.376	0.848	1.028	0.972	0.959	27.254	10599.540
119	636.397	0.878	1.021	0.979	0.967	28.466	12076.924
120	528.757	0.859	1.042	0.960	0.967	25.947	9146.365
121	542.557	0.875	1.040	0.962	0.964	26.283	9506.756
122	617.077	0.835	1.125	0.889	0.954	28.030	11531.166
123	524.835	0.803	1.016	0.984	0.947	25.850	9044.788
124	485.614	0.831	1.099	0.910	0.958	24.866	8050.095
125	579.309	0.815	1.090	0.918	0.954	27.159	10488.881
126	584.538	0.847	1.074	0.931	0.958	27.281	10631.227
127	559.844	0.852	1.063	0.941	0.966	26.699	9964.695
128	598.919	0.884	1.038	0.963	0.967	27.615	11025.961
129	585.265	0.850	1.035	0.966	0.967	27.298	10651.048
130	576.113	0.807	1.111	0.900	0.949	27.084	10402.207
131	434.191	0.811	1.085	0.922	0.954	23.512	6805.896
132	472.686	0.814	1.036	0.965	0.955	24.532	7730.770
133	552.145	0.853	1.087	0.920	0.959	26.514	9759.852
134	567.397	0.849	1.060	0.943	0.965	26.878	10167.046
135	508.711	0.819	1.020	0.981	0.959	25.450	8631.190
136	463.099	0.852	1.048	0.954	0.954	24.282	7496.765
137	624.486	0.829	1.063	0.941	0.949	28.198	11739.446
138	612.719	0.807	1.091	0.916	0.950	27.931	11409.229
139	525.852	0.854	1.015	0.986	0.966	25.875	9071.086
140	557.665	0.897	1.064	0.940	0.973	26.647	9906.577
141	539.943	0.855	1.050	0.952	0.964	26.220	9438.115
142	553.597	0.890	1.020	0.981	0.971	26.549	9798.393
143	478.787	0.856	1.067	0.937	0.953	24.690	7880.926
144	652.376	0.853	1.055	0.948	0.966	28.821	12534.616
145	641.917	0.879	1.064	0.939	0.972	28.589	12234.394
146	514.231	0.873	1.062	0.942	0.963	25.588	8772.055
147	539.507	0.857	1.061	0.943	0.963	26.209	9426.692
148	598.484	0.832	1.044	0.957	0.955	27.605	11013.929
149	548.949	0.887	1.026	0.974	0.973	26.438	9675.241
150	507.113	0.857	1.023	0.978	0.963	25.410	8590.555
151	538.781	0.837	1.050	0.953	0.960	26.192	9407.662
152	441.309	0.800	1.056	0.947	0.945	23.704	6973.938
153	500.286	0.816	1.031	0.970	0.952	25.239	8417.656
154	572.482	0.837	1.027	0.974	0.955	26.998	10304.006
155	560.134	0.875	1.071	0.934	0.967	26.706	9972.453
156	501.303	0.873	1.058	0.945	0.963	25.264	8443.332
157	563.040	0.823	1.019	0.982	0.957	26.775	10050.140
158	532.389	0.813	1.053	0.949	0.950	26.036	9240.754
159	580.181	0.821	1.024	0.977	0.950	27.179	10512.561
160	574.370	0.844	1.069	0.936	0.961	27.043	10355.032
161	492.442	0.815	1.124	0.890	0.945	25.040	8220.458
162	460.048	0.868	1.045	0.957	0.965	24.202	7422.813
163	533.406	0.851	1.020	0.980	0.958	26.061	9267.241
164	488.520	0.811	1.038	0.964	0.951	24.940	8122.444
165	542.412	0.808	1.055	0.948	0.955	26.280	9502.938
166	516.410	0.809	1.137	0.880	0.943	25.642	8827.868
167	588.896	0.879	1.024	0.977	0.969	27.383	10750.337
168	554.178	0.851	1.040	0.962	0.962	26.563	9813.824
169	398.892	0.805	1.117	0.896	0.949	22.536	5993.041
170	492.732	0.857	1.099	0.910	0.962	25.047	8227.733
171	553.162	0.855	1.064	0.939	0.965	26.539	9786.826
172	515.248	0.840	1.032	0.969	0.958	25.613	8798.087
173	557.229	0.808	1.055	0.948	0.944	26.636	9894.967
174	524.545	0.863	1.021	0.980	0.964	25.843	9037.279
175	556.357	0.871	1.146	0.873	0.966	26.615	9871.760
176	541.831	0.866	1.040	0.961	0.968	26.266	9487.673
177	471.669	0.857	1.010	0.990	0.958	24.506	7705.838
178	598.048	0.852	1.046	0.956	0.965	27.595	11001.901
